Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Threshold-Calibrated XGBoost (Proposed),0.9491869918699187,0.9217391304347826,0.9680365296803652,0.9443207126948775,0.9879656112532824
Stacking (RF+GB+XGB+KNN),0.9491869918699187,0.9409090909090909,0.9452054794520548,0.9430523917995444,0.988216501915132
Gradient Boosting,0.9471544715447154,0.9366515837104072,0.9452054794520548,0.9409090909090909,0.9872631174001038
Ensemble Voting (RF+GB+XGB),0.9471544715447154,0.9366515837104072,0.9452054794520548,0.9409090909090909,0.9880492414738989
Random Forest (tuned),0.9471544715447154,0.9406392694063926,0.9406392694063926,0.9406392694063926,0.9876143643266931
Ensemble Voting (RF+GB+KNN),0.9451219512195121,0.9324324324324325,0.9452054794520548,0.9387755102040817,0.987112583002994
LightGBM (tuned),0.943089430894309,0.9400921658986175,0.9315068493150684,0.9357798165137615,0.9859250338702393
XGBoost (default threshold),0.9410569105691057,0.9279279279279279,0.9406392694063926,0.9342403628117913,0.9879656112532824
SVM,0.9329268292682927,0.9227272727272727,0.9269406392694064,0.9248291571753986,0.9814090019569471
Decision Tree,0.9288617886178862,0.9259259259259259,0.91324200913242,0.9195402298850575,0.9311723284326024
KNN,0.9166666666666666,0.8836206896551724,0.9360730593607306,0.9090909090909091,0.9786910197869102
Logistic Regression,0.9085365853658537,0.8954545454545455,0.8995433789954338,0.89749430523918,0.974367337381036
Naive Bayes,0.8902439024390244,0.880184331797235,0.8721461187214612,0.8761467889908257,0.9624918460534899
